date,daily_total_pnl,daily_avg_pnl,daily_median_pnl,daily_win_rate,daily_trade_count,daily_avg_leverage,sentiment_score,long_short_ratio,sentiment_label
2024-01-19,-385.419235,-14.274786481481483,-0.133,0.2222222222222222,27,1.0,3.0,0.9285714285714286,Neutral
2024-01-20,-146.57487000000003,-4.580464687500001,-0.041306499999999996,0.46875,32,1.0,3.0,0.8823529411764706,Neutral
2024-01-21,266.58114600000005,53.31622920000001,37.768416,0.6,5,1.0,4.0,0.6666666666666666,Greed
2024-01-22,1375.640959,33.552218512195125,0.2412,0.5609756097560976,41,1.0,4.0,1.05,Greed
2024-01-23,-369.2447299999998,-18.46223649999999,15.775128,0.55,20,1.0,3.0,1.8571428571428572,Neutral
2024-01-24,-2808.353815,-70.208845375,-9.904356,0.25,40,1.0,3.0,0.48148148148148145,Neutral
2024-01-25,-3093.6293849999997,-515.6048975,-481.44219250000003,0.0,6,1.0,3.0,0.0,Neutral
2024-01-26,90.2,90.2,90.2,1.0,1,1.0,3.0,0.0,Neutral
2024-01-28,-2478.06972,-225.27906545454545,-68.216526,0.0,11,1.0,3.0,0.0,Neutral
2024-01-29,486.562542,10.812500933333334,1.648152,1.0,45,1.0,4.0,0.2857142857142857,Greed
2024-01-30,-173.65419100000003,-9.139694263157896,-1.388821,0.2631578947368421,19,1.0,4.0,2.8,Greed
2024-01-31,-799.840817,-1.8344972866972478,0.0010999999999999998,0.5298165137614679,436,1.0,4.0,1.3191489361702127,Greed
2024-02-02,456.423473,21.734451095238096,0.68988,0.6190476190476191,21,1.0,4.0,0.4,Greed
2024-02-03,223.30918699999998,18.609098916666664,-0.018115,0.5,12,1.0,4.0,1.0,Greed
2024-02-04,47.62389499999999,1.7008533928571425,-3.8833495,0.32142857142857145,28,1.0,4.0,0.75,Greed
2024-02-05,-33.45419400000003,-1.045443562500001,-0.30223500000000003,0.4375,32,1.0,4.0,0.391304347826087,Greed
2024-02-06,-215.615907,-0.41226750860420647,-0.253863,0.3422562141491396,523,1.0,4.0,0.9514925373134329,Greed
2024-02-07,241.24212,120.62106,120.62106,1.0,2,1.0,4.0,,Greed
2024-02-08,770.756024,192.689006,178.933585,1.0,4,1.0,4.0,0.3333333333333333,Greed
2024-02-11,983.443176,140.4918822857143,1.7928,1.0,7,1.0,4.0,1.3333333333333333,Greed
2024-02-12,913.8817869999998,60.925452466666655,-51.671804,0.4,15,1.0,4.0,2.75,Greed
2024-02-13,559.44389,39.960277857142856,30.05825,1.0,14,1.0,5.0,0.0,Extreme Greed
2024-02-14,3830.599833,45.60237896428572,32.1738725,0.9880952380952381,84,1.0,4.0,0.3548387096774194,Greed
2024-02-15,1840.797677,30.679961283333334,14.12442,0.95,60,1.0,4.0,6.5,Greed
2024-02-16,5491.768834,37.61485502739726,12.3432,1.0,146,1.0,4.0,2.1739130434782608,Greed
2024-02-17,1929.6418,29.686796923076926,13.516929,0.9384615384615385,65,1.0,5.0,0.5476190476190477,Extreme Greed
2024-02-18,477.6248299999999,7.023894558823528,22.52548,0.8970588235294118,68,1.0,4.0,0.21428571428571427,Greed
2024-02-19,4317.768563,54.65529826582278,11.9812,0.9746835443037974,79,1.0,5.0,0.6808510638297872,Extreme Greed
2024-02-20,3263.628824,101.98840075,20.6318,0.96875,32,1.0,4.0,0.3333333333333333,Greed
2024-02-21,1858.7985700000002,123.91990466666668,51.5264,1.0,15,1.0,5.0,0.0,Extreme Greed
2024-02-22,3894.1050699999996,72.11305685185185,2.861352,0.7407407407407407,54,1.0,4.0,0.018867924528301886,Greed
2024-02-23,1418.55293,10.279369057971016,7.776118,0.9927536231884058,138,1.0,5.0,14.333333333333334,Extreme Greed
2024-02-25,-30.7705,-15.38525,-15.38525,0.0,2,1.0,4.0,,Greed
2024-02-26,4416.8473,129.90727352941178,38.287499999999994,1.0,34,1.0,4.0,3.25,Greed
2024-02-27,888.511733,21.155041261904763,9.805995,0.6190476190476191,42,1.0,5.0,1.1,Extreme Greed
2024-02-28,2503.747235,64.19864705128205,49.734,1.0,39,1.0,5.0,2.9,Extreme Greed
2024-02-29,9813.996992,98.13996992,39.39018,1.0,100,1.0,5.0,1.3255813953488371,Extreme Greed
2024-03-01,8244.241409,64.4081360078125,30.998015000000002,1.0,128,1.0,5.0,0.29292929292929293,Extreme Greed
2024-03-02,230.90060000000005,8.246450000000001,1.4668,0.75,28,1.0,5.0,27.0,Extreme Greed
2024-03-03,8361.086245,154.83493046296297,37.45367,1.0,54,1.0,5.0,0.38461538461538464,Extreme Greed
2024-03-04,27799.775742,102.96213237777778,35.79009,0.9851851851851852,270,1.0,5.0,1.0930232558139534,Extreme Greed
2024-03-05,19791.026041,121.41733767484664,41.235561,1.0,163,1.0,5.0,0.35833333333333334,Extreme Greed
2024-03-06,6814.825139,94.65034915277778,29.4508905,1.0,72,1.0,5.0,1.7692307692307692,Extreme Greed
2024-03-08,4271.886236,72.40485145762712,15.7183,1.0,59,1.0,5.0,0.3409090909090909,Extreme Greed
2024-03-09,9949.501624,92.98599648598132,26.79468,0.9065420560747663,107,1.0,5.0,3.28,Extreme Greed
2024-03-10,2482.9272,65.34018947368422,4.4589,0.7631578947368421,38,1.0,5.0,,Extreme Greed
2024-03-11,3588.179495,92.00460243589744,19.37925,1.0,39,1.0,5.0,0.39285714285714285,Extreme Greed
2024-03-12,3039.166,434.16657142857144,25.6373,1.0,7,1.0,5.0,0.0,Extreme Greed
2024-03-14,3465.865832,216.6166145,98.5385235,1.0,16,1.0,5.0,0.0,Extreme Greed
2024-03-15,6236.513651,152.11008904878048,81.62,1.0,41,1.0,5.0,0.5185185185185185,Extreme Greed
2024-03-16,228.57984,228.57984,228.57984,1.0,1,1.0,5.0,0.0,Extreme Greed
2024-03-17,503.293955,50.3293955,20.468040000000002,1.0,10,1.0,5.0,1.5,Extreme Greed
2024-03-18,1456.9577,242.82628333333332,21.165,1.0,6,1.0,5.0,0.0,Extreme Greed
2024-03-19,668.797973,95.54256757142856,79.575881,0.7142857142857143,7,1.0,5.0,2.5,Extreme Greed
2024-03-20,6423.134599,107.05224331666666,17.689555,1.0,60,1.0,4.0,0.5789473684210527,Greed
2024-03-21,2335.5080749999997,101.54382934782608,34.35,1.0,23,1.0,5.0,22.0,Extreme Greed
2024-03-24,1297.018477,86.46789846666667,72.408688,1.0,15,1.0,4.0,,Greed
2024-03-25,1302.916428,217.152738,195.2767275,1.0,6,1.0,5.0,0.0,Extreme Greed
2024-03-26,3215.906593,29.235514481818182,20.13996,1.0,110,1.0,5.0,0.009174311926605505,Extreme Greed
2024-03-27,150.41114,7.916375789473683,2.5575,0.631578947368421,19,1.0,5.0,0.5833333333333334,Extreme Greed
2024-03-28,227.85100799999998,25.316778666666664,15.568696,1.0,9,1.0,5.0,,Extreme Greed
2024-03-29,883.097404,147.18290066666665,176.4759,1.0,6,1.0,5.0,0.0,Extreme Greed
2024-03-30,1100.57514,25.01307136363636,10.397625,1.0,44,1.0,5.0,0.0,Extreme Greed
2024-03-31,912.786145,91.2786145,24.10425,1.0,10,1.0,5.0,0.0,Extreme Greed
2024-04-01,2507.963406,58.32473037209302,16.20567,0.9767441860465116,43,1.0,5.0,0.075,Extreme Greed
2024-04-02,883.760812,73.64673433333333,13.365835,1.0,12,1.0,5.0,0.3333333333333333,Extreme Greed
2024-04-03,126.7884,126.7884,126.7884,1.0,1,1.0,4.0,0.0,Greed
2024-04-05,10706.484306,118.96093673333334,11.044695,1.0,90,1.0,5.0,0.08433734939759036,Extreme Greed
2024-04-06,236.33513399999998,59.083783499999996,36.5376565,1.0,4,1.0,5.0,0.0,Extreme Greed
2024-04-08,1218.4267,1218.4267,1218.4267,1.0,1,1.0,5.0,,Extreme Greed
2024-04-10,5207.443414,144.65120594444446,65.4532385,1.0,36,1.0,5.0,35.0,Extreme Greed
2024-04-11,389.743164,194.871582,194.871582,1.0,2,1.0,5.0,0.0,Extreme Greed
2024-04-12,-592.6458390000001,-5.867780584158417,12.4434,0.7029702970297029,101,1.0,5.0,0.1744186046511628,Extreme Greed
2024-04-13,6621.451755,108.5483894262295,48.26106,1.0,61,1.0,4.0,0.5641025641025641,Greed
2024-04-14,-36104.012520000004,-487.8920610810811,-21.5033,0.44594594594594594,74,1.0,4.0,0.37037037037037035,Greed
2024-04-15,3774.08872,107.83110628571428,19.70316,1.0,35,1.0,4.0,0.5909090909090909,Greed
2024-04-16,2467.702221,57.38842374418605,18.18027,1.0,43,1.0,4.0,2.3076923076923075,Greed
2024-04-17,2441.4683999999997,187.8052615384615,55.0622,1.0,13,1.0,4.0,,Greed
2024-04-19,1946.4454620000001,72.09057266666667,30.691422,1.0,27,1.0,4.0,0.0,Greed
2024-04-23,1119.536196,31.98674845714286,5.6415,1.0,35,1.0,4.0,1.0588235294117647,Greed
2024-04-24,279.185907,39.883700999999995,1.574,0.8571428571428571,7,1.0,4.0,0.0,Greed
2024-04-27,4281.488139,225.34148100000002,170.451081,1.0,19,1.0,4.0,0.0,Greed
2024-04-29,526.9338359999999,30.996107999999996,4.258631,1.0,17,1.0,4.0,,Greed
2024-05-03,5306.017045,279.264055,217.306229,0.8947368421052632,19,1.0,3.0,0.11764705882352941,Neutral
2024-05-05,0.916,0.916,0.916,1.0,1,1.0,4.0,,Greed
2024-05-06,968.59038,242.147595,114.89778,1.0,4,1.0,4.0,,Greed
2024-05-07,883.537693,98.17085477777778,114.244335,1.0,9,1.0,4.0,1.25,Greed
2024-05-08,1.56576,0.78288,0.78288,0.5,2,1.0,4.0,1.0,Greed
2024-05-09,1147.595856,104.32689599999999,28.27656,1.0,11,1.0,4.0,0.0,Greed
2024-05-10,2101.741695,350.29028250000005,208.60580099999999,1.0,6,1.0,4.0,,Greed
2024-05-11,251.604742,27.956082444444444,6.001646,1.0,9,1.0,3.0,0.0,Neutral
2024-05-13,2136.853859,213.68538589999997,78.1262265,1.0,10,1.0,4.0,0.0,Greed
2024-05-14,1150.5233050000002,287.63082625000004,165.48699000000002,1.0,4,1.0,4.0,,Greed
2024-05-15,948.970582,55.821798941176475,34.209,1.0,17,1.0,4.0,0.13333333333333333,Greed
2024-05-16,214.5898,42.91796,61.492384,1.0,5,1.0,4.0,,Greed
2024-05-18,3522.3946610000003,220.14966631250002,66.5377775,1.0,16,1.0,4.0,0.7777777777777778,Greed
2024-05-20,-74.818442,-24.939480666666668,-14.527275,0.0,3,1.0,4.0,0.0,Greed
2024-05-21,7289.397571999999,291.57590287999994,5.610448,0.56,25,1.0,5.0,0.7857142857142857,Extreme Greed
2024-05-23,413.347329,2.649662365384615,1.924407,0.9294871794871795,156,1.0,5.0,4.571428571428571,Extreme Greed
2024-05-24,821.949278,410.974639,410.974639,1.0,2,1.0,4.0,0.0,Greed
2024-05-25,14.126038999999999,2.8252078,2.84427,1.0,5,1.0,5.0,,Extreme Greed
2024-05-26,778.6839,194.670975,20.125114999999997,1.0,4,1.0,5.0,1.0,Extreme Greed
2024-05-27,1129.35587,12.143611505376345,8.162477,0.967741935483871,93,1.0,4.0,,Greed
2024-05-29,277.791953,3.912562718309859,2.020662,0.9577464788732394,71,1.0,4.0,4.916666666666667,Greed
2024-05-30,20.951433,4.1902866,2.57278,1.0,5,1.0,4.0,,Greed
2024-05-31,25.35812,6.33953,5.32155,1.0,4,1.0,4.0,,Greed
2024-06-01,91.510419,10.167824333333334,10.477181,1.0,9,1.0,4.0,,Greed
2024-06-02,192.906947,5.6737337352941175,4.36428,1.0,34,1.0,4.0,,Greed
2024-06-03,562.808208,12.791095636363638,7.4429669999999994,1.0,44,1.0,4.0,,Greed
2024-06-04,52.211438,2.08845752,1.06284,1.0,25,1.0,4.0,,Greed
2024-06-05,56.055506,3.297382705882353,2.58765,0.9411764705882353,17,1.0,5.0,,Extreme Greed
2024-06-06,274.173187,2.6879724215686274,1.493881,0.9803921568627451,102,1.0,5.0,101.0,Extreme Greed
2024-06-07,8902.467416,50.013861887640445,4.0189924999999995,0.9887640449438202,178,1.0,5.0,1.7384615384615385,Extreme Greed
2024-06-08,129.13883900000002,16.142354875000002,6.989605000000001,1.0,8,1.0,4.0,0.0,Greed
2024-06-10,31.266804999999998,1.737044722222222,0.58282,1.0,18,1.0,4.0,,Greed
2024-06-11,4320.631811,254.1548124117647,9.3208,1.0,17,1.0,4.0,0.8888888888888888,Greed
2024-06-12,-21886.531493,-280.5965576025641,-168.24957,0.2692307692307692,78,1.0,4.0,,Greed
